File,Centroid X,Centroid Y,Centroid Z
segment_8.stl,0.005531094153411686,0.0023976881057024,0.0
segment_9.stl,0.005959921749308705,0.0041515398770570755,0.0
segment_1.stl,0.00045739393681287766,-0.0021900618448853493,0.0
segment_0.stl,-0.0009081102907657623,-0.0028022610349580646,0.0
segment_2.stl,0.0019166208803653717,-0.004421346355229616,0.0
segment_3.stl,0.0033642747439444065,-0.004829729441553354,0.0
segment_7.stl,0.0027740730438381433,0.0005793645977973938,0.0
segment_6.stl,0.0035901324590668082,-0.0011634314432740211,0.0
segment_4.stl,0.004686128813773394,-0.003951659891754389,0.0
segment_5.stl,0.005767924943938851,-0.0027067866176366806,0.0
